N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE
1,삼성전자,"58,800",900,+1.55%,100,"3,510,232","5,969,783",55.92,"8,465,520",18.40,8.69,
2,SK하이닉스,"82,400",500,-0.60%,"5,000","599,874","728,002",48.67,"2,352,801",26.24,4.25,
3,NAVER,"300,500","5,500",+1.86%,100,"493,612","164,263",55.30,"423,736",70.05,10.56,
4,삼성바이오로직스,"688,000","13,000",+1.93%,"2,500","455,215","66,165",10.18,"43,020",132.54,4.77,
5,LG화학,"627,000",0,0.00%,"5,000","442,614","70,592",37.03,"253,676",108.08,1.84,
6,삼성전자우,"50,800",100,+0.20%,100,"418,026","822,887",86.86,"1,102,569",15.89,N/A,
7,현대차,"175,500","5,500",+3.24%,"5,000","374,988","213,668",31.39,"1,126,526",25.29,4.32,
8,셀트리온,"257,500","1,000",-0.39%,"1,000","347,609","134,994",21.36,"821,969",86.85,11.19,
9,카카오,"370,000","18,500",+5.26%,500,"325,852","88,068",31.68,"522,534",-211.43,-5.81,
10,삼성SDI,"420,000","8,000",+1.94%,"5,000","288,811","68,765",41.74,"150,582",154.30,2.94,
11,LG생활건강,"1,454,000","35,000",+2.47%,"5,000","227,089","15,618",45.40,"14,764",33.16,20.32,
12,현대모비스,"226,500","4,500",+2.03%,"5,000","215,299","95,055",43.90,"136,526",12.34,7.28,
13,삼성물산,"105,000","2,500",+2.44%,100,"196,231","186,887",14.35,"126,787",18.35,4.77,
14,SK텔레콤,"234,000","3,000",+1.30%,500,"188,945","80,746",35.94,"64,389",19.20,3.92,
15,기아차,"45,900","1,900",+4.32%,"5,000","186,062","405,363",38.86,"1,105,945",17.48,6.50,
16,엔씨소프트,"804,000","20,000",+2.55%,500,"176,510","21,954",48.93,"59,713",33.86,14.72,
17,POSCO,"194,500",500,+0.26%,"5,000","169,578","87,187",51.43,"168,449",18.49,4.18,
18,KB금융,"38,200",0,0.00%,"5,000","158,839","415,808",65.79,"720,640",5.00,8.92,
19,LG전자,"92,600",300,-0.32%,"5,000","151,538","163,648",34.61,"612,388",37.16,0.22,
20,넷마블,"164,500","1,500",-0.90%,100,"141,187","85,828",22.56,"446,729",68.06,3.54,
21,SK,"196,500","5,500",+2.88%,200,"138,258","70,360",21.95,"112,177",-378.61,4.31,
22,신한지주,"27,500",150,+0.55%,"5,000","131,284","477,397",60.19,"725,750",4.13,9.09,
23,삼성에스디에스,"169,500","3,000",+1.80%,500,"131,155","77,378",12.24,"71,733",25.16,11.76,
24,한국전력,"20,200",500,+2.54%,"5,000","129,677","641,964",17.44,"1,212,036",-14.08,-3.42,
25,SK이노베이션,"137,500","3,000",-2.14%,"5,000","127,140","92,466",23.77,"537,980",-5.63,-0.20,
26,LG,"73,100","1,000",+1.39%,"5,000","126,139","172,557",34.97,"116,073",15.60,5.87,
27,SK바이오팜,"156,500","2,000",-1.26%,500,"122,560","78,313",1.99,"107,119",-142.27,-313.66,
28,삼성생명,"59,900","2,000",+3.45%,500,"119,800","200,000",12.46,"237,600",13.32,3.26,
29,KT&G,"81,500","1,000",+1.24%,"5,000","111,893","137,292",41.97,"165,126",10.90,12.39,
30,삼성전기,"139,500","4,000",+2.95%,"5,000","104,198","74,694",32.92,"245,315",42.94,10.18,
31,아모레퍼시픽,"162,000","2,500",+1.57%,500,"94,703","58,458",30.53,"82,340",81.45,5.36,
32,삼성화재,"180,500","2,000",+1.12%,500,"85,512","47,375",46.96,"27,567",13.80,4.85,
33,하나금융지주,"27,850",300,+1.09%,"5,000","83,617","300,242",64.02,"410,300",3.30,8.77,
34,고려아연,"383,000","18,500",+5.08%,"5,000","72,272","18,870",24.05,"27,615",13.14,9.76,
35,신풍제약,"130,500","5,500",-4.04%,500,"69,145","52,985",9.67,"6,534,828","3,954.55",0.80,
36,롯데케미칼,"194,500","1,500",-0.77%,"5,000","66,666","34,275",29.58,"143,953",37.11,5.51,
37,한온시스템,"12,000",350,+3.00%,100,"64,056","533,800",20.78,"673,357",38.46,14.98,
38,우리금융지주,"8,410",170,+2.06%,"5,000","60,743","722,268",26.00,"556,065",4.44,N/A,
39,한화솔루션,"37,900","2,750",+7.82%,"5,000","60,589","159,864",20.09,"5,630,599",-36.58,-4.02,
40,CJ제일제당,"393,500","3,500",+0.90%,"5,000","59,238","15,054",22.95,"22,850",9.91,3.16,
41,KT,"22,650",250,+1.12%,"5,000","59,142","261,112",45.06,"326,899",9.87,4.61,
42,기업은행,"7,930",80,+1.02%,"5,000","58,576","738,664",10.89,"715,104",3.80,7.36,
43,코웨이,"79,200","2,000",+2.59%,500,"58,449","73,800",60.97,"97,194",16.65,30.74,
44,S-Oil,"51,200",300,+0.59%,"2,500","57,642","112,583",73.48,"105,666",-7.04,1.01,
45,한국조선해양,"80,300",600,+0.75%,"5,000","56,831","70,773",15.78,"76,215",54.00,1.40,
46,LG디스플레이,"15,200",250,+1.67%,"5,000","54,388","357,816",22.25,"724,198",-1.87,-22.35,
47,미래에셋대우,"8,400",50,+0.60%,"5,000","54,207","645,316",13.65,"784,297",10.00,7.56,
48,현대글로비스,"140,500","1,000",+0.72%,500,"52,688","37,500",35.34,"62,891",9.57,11.25,
49,오리온,"132,000","4,000",+3.13%,500,"52,188","39,536",44.31,"33,701",19.69,14.24,
50,포스코케미칼,"80,500","2,500",+3.21%,500,"49,096","60,988",7.40,"254,568",94.93,11.57,
51,LG유플러스,"11,150",350,+3.24%,"5,000","48,682","436,611",30.78,"1,050,777",9.74,6.30,
52,강원랜드,"21,450",650,+3.13%,500,"45,890","213,940",24.44,"327,271",-225.79,9.16,
53,유한양행,"62,800",900,+1.45%,"1,000","41,986","66,857",21.39,"190,387",25.33,2.43,
54,한진칼,"67,600",100,+0.15%,"2,500","39,999","59,170",17.38,"62,507",-10.41,-17.56,
55,이마트,"143,000","2,500",+1.78%,"5,000","39,862","27,876",31.14,"101,555",7.17,2.76,
56,아모레G,"48,250","1,000",+2.12%,500,"39,786","82,458",20.30,"38,577",65.83,4.12,
57,KODEX 200,"30,855",505,+1.66%,0,"39,325","127,450",7.06,"3,409,549",N/A,N/A,
58,CJ대한통운,"172,000","2,500",+1.47%,"5,000","39,237","22,812",21.27,"58,624",43.41,1.41,
59,한국금융지주,"70,000",0,0.00%,"5,000","39,008","55,726",31.37,"299,402",6.62,18.14,
60,한국타이어앤테크놀로지,"31,400",750,+2.45%,500,"38,897","123,875",38.55,"183,426",13.13,6.03,
61,맥쿼리인프라,"10,900",150,+1.40%,0,"38,046","349,044",17.10,"451,529",N/A,N/A,
62,LG이노텍,"155,500","4,000",+2.64%,"5,000","36,802","23,667",35.08,"84,030",16.10,4.73,
63,한미사이언스,"55,000","2,000",+3.77%,500,"36,306","66,011",1.90,"103,959",128.21,4.73,
64,두산중공업,"13,600",750,+5.84%,"5,000","34,427","253,141",7.03,"4,426,813",-2.68,-14.73,
65,SK케미칼,"289,500","11,500",-3.82%,"5,000","33,991","11,741",11.83,"304,087",14.89,1.51,
66,현대중공업지주,"214,000","9,000",+4.39%,"5,000","33,809","15,799",17.83,"23,374",-15.09,2.20,
67,현대건설,"30,150",450,+1.52%,"5,000","33,574","111,356",20.76,"283,377",9.98,6.30,
68,에스원,"87,300",500,+0.58%,500,"33,173","37,999",55.75,"23,679",22.42,11.32,
69,삼성중공업,"5,240",90,+1.75%,"5,000","33,012","630,000",15.54,"1,337,223",-1.81,-21.88,
70,대한항공,"18,800",450,+2.45%,"5,000","32,751","174,210",11.33,"753,599",-2.80,-22.09,
